content,score,categories,sentiment
i want to upgrade my account but it was said that my application is rejected. I wanted to reupload but the app said my documents are still uploading and now I can't even log in to my account.,1,negatif,0
"Gojek doesn't mask your number from drivers. I cancelled a trip as the driver couldn't find my location and was shouting at me on the phone. After cancelling, he called me directly on my phone with his mobile, and proceeded to berate me about cancelling. I feel that not masking commuter's number is unsafe, and puts commuters at risk. Competitor apps mask both commuter and drivers number from each other, which adds a layer of safety",1,negatif,0
"proven, there are no fair play from company to drivers. i live in palembang, and whenever i use gocar i never get the nearest driver (which is oftenly in front of me parking and waiting for order), after more than thousands trips, i'm curiously asking the driver, and it is a shocking one. They gave the order to chosen drivers first, eventhough the drivers are far away. I gave 1 star, cause for my time wasted waiting for the drivers from far away picking me, and there is a driver in front of me",1,negatif,0
"regritration with new device (also new registrant), but server says always busy to confirm the code. it forced to wait for 24 hours.",1,negatif,0
I didn't get my discount. Very disappointed. It is hard to see where was my driver was. Your GPS location sucks a lot... waiting time took more than 15 minutes when it was supposed to arrive in 9 minutes. The driver did came and was very friendly. The way your app use to book cab is very confusing.,1,negatif,0
App assigned 3 drivers. First cancelled within 10 seconds. Second driver was miles away (pick up at yishun but driver was at bugis. Thankfully driver called to clarify and request I cancel the booking. Third driver just kept stationary for more than 10 mins.,1,negatif,0
"Be careful when using GO-Pay and GO-Jek! There are a lot of people trying to rip you off and GO-Jek does not care at all, even if you get ripped of! - Drivers that give you advice in Indonesian Language and request Codes from you in order to steal all your GO-Pay Money. - Drivers that try to scam you by marking trips as completed but have not even picked you up. - Drivers that initially don't have change with them when you pay cash or are using GPS fake and take ages to get to your position.",1,negatif,0
"No loyalty programs. Discounts are few, and far apart. Long waiting times.",1,negatif,0
"the first few times it works perfectly and then when i want to order food , everytime i order food is says server is busy . great job devs",1,negatif,0
not user friendly. Most banners in Malay. can't understand a thing. Can't search my location. Wrong location after searching. No option to add address. Most links for food on homepage not even working. Tabbing on them shows nothing. More for people living in Malaysia. Definitely not for great for Singaporeans at this moment. This app tries to do too many things. Jack of all trades master of none.,1,negatif,0
"adding credit card doesnt work, app doesn't allow entering more than 8 digits for a credit card number. Reinstalled 3 times, still doesn't work (Samsung Note 9, android v9, Singapore)",1,negatif,0
Unable to submit a general feedback in the app esp under the 'My driver did not pick me up'. It's basically just a picture of a comment field and a Submit button. Just a picture.,1,negatif,0
the app is slow and not accurate at all. just now said driver was 4min away and he was already waiting for me.,1,negatif,0
update on 11June....PATHETIC SERVICE update on 20th May 2019: rubbIsh app and unreliable service. if you have an important appointment use GRAB. PREVIOUS REVIEW IN MARCH 2019 good alternative for Grab and 80% of the time it's cheaper. software can be buggy. driver was outside my house waiting but the app showed him as 16 minutes away.,1,negatif,0
"I tried to order a new ride, after successfully paying for the previous trip. But when I tried to book a new trip, it kept saying I failed to pay for the previous trip when I've obviously paid. Please sort out your screwed-up app",1,negatif,0
Vouchers do not show up in the app even though I had clicked in following a notification about a promo on my phone.,1,negatif,0
"your app is lousy.. I can't book from my location, I have already send 2-3 emails no reply also.",1,negatif,0
"Your system takes too long to find a driver and when i cancel because too long waiting the next time the prices when up, seriously?",1,negatif,0
unfortunately i don't believe in its promos nor voucher anymore.. there are 17 SEMANGAT MERDEKA Rp 10.000 cashback vouchers .. i have used 4 times for 4 transactions.. and my each transactions is more than Rp 20.000 already (has fulfiled the term and policy for the voucher).. but there is no cashback in my saldo..AT ALL.. 😡😡😠😠😠😠😈😈😈😈😈,1,negatif,0
"whats the use of having competitive prices when drivers ghost customers when they find out your destination? i have had 2 drivers in a row just stopping beside the road with their phone turned off, presumably just waiting for me to cancel my ride. its obvious drivers are not penalized by this behavior so they continue doing so, just forget about using Gojek in Singapore, company doesnt treat their drivers well enough so they take it out on customers. and dont tell me its an app problem",1,negatif,0
"I feel so pissed that they reply my emails with automated message, and even did not solve my problem. It is very simple: Gojek does not cover my area here, but they always reply my email saying I just need to restart my GPS. So disappointing.",1,negatif,0
Registered some months back and switched phone number in between. Now unable to re-register without that phone. Extremely poor user experience as cannot use the app.,1,negatif,0
Hate it when they always gives (usually more than one) notification for donation. I'm not interested so please at least give option to disable it,1,negatif,0
"Well it's pretty usefull, but please ADD EMAIL SETTING. I don't want to get any email if it's only about my order. You know it's freaking annoying if you got an email every single time you order something and you have to delete it one by one, it's spamming",1,negatif,0
Horrible experience in using the app and very poor customer service. Guess I will be sticking to Grab instead.,1,negatif,0
"Bad experience, first time use gotix to but movie tickets and after 3 days later when the movie almost start i'm not event get the booking code, i'm already send email but not respon, they just say okay we accept your email we will reply it soon, but that's it after that i decide it to call the call center and they said my order just cant be done by something i dont event know, why 3 days later and after i call the call center they told me, why dont they tell me earlier. Im so disappointed",1,negatif,0
"There are often errors when messages go Food, make me scolded by the driver, I'm disappointed in this application !!",1,negatif,0
"My voucher alfamart coupon didnt apply during the payment for 12 times.. i purposely choose use now, but i hvent receive my cashback even i didnt reach my maximum cashback yet..",1,negatif,0
"Gopay code promo expired (go pay code expired instaneously),  (sometimes the timer goes below zero, and thats the only time I can pay).  if the time goes below zero (minus), the go pay code will not expired until I close it manually)",1,negatif,0
"This great apps should be staying in JAKARTA AND JAKARTA only. Using it in Bali and met impolite drivers, stupid drivers, dishonest drivers, reported it yet none coming back. Charging full price for my half trip is completely ridiculous. HORRIBLE",1,negatif,0
"No idea why is it so hard for this company to admit that their app has a bug?! How are you gonna tell me that the subscription that I bought won't be displayed in my subscription page, just because it is the way it is??!! Well then why don't just remove the subscription page for good? Your costumer can't see his subscription info there anyway. It's so absurd it's not even driving me mad anymore. It's comical.",1,negatif,0
It used to be a very good app. Nowadays its getting really worse and it get to my nerve. The help center should be helping us with our problems but I couldn't get the help I need for my problems because there's no option for it. I hope you could improve your service. Thx,1,negatif,0
I dont like the notification. It is always coming twice a day and dont how to put the notification off. And why is gojek expensiver than the other (grab ?),1,negatif,0
"I have had countless problems. But today my order was canceled by the driver so I ordered from grab, then later Gojeck came. And since I wasn't expecting him, and the app notifications are inconsistent, I didn't hear the guy yelling at me until my landlord came to my door. Bad form!",1,negatif,0
"Upgrading GoPay sucks !!! I HAVE BEEN DOING WHAT THE INSTRUCTIONS TOLD ME ! ID card placed inside the box, keeping my whole face inside the box with my ID card perfectly placed and not covering my face. I've done this for 5 times today with variations on each attempt to make sure the instructions have been followed... They still wouldn't accept it. The other E-Wallet app (D*n*) that I use didn't give me this problem when verifying and only took 1 try. Very Terrible !",1,negatif,0
"Worst transportation app ever, im from Indonesia and i cant even use the go bike for 5 days now. Reinstalled many times, tried to login with all the methods and still cant use the app. Nvm they got my money inside.",1,negatif,0
hate it! because it always ask me to log in and enter the code that cant be done in a minute. why do I need to log in so many time??? I need to use it in rush but got canceled because of your poor service,1,negatif,0
"Each time i order some food always failed. Error notification ""server busy"" i'm waiting until 3 days but still can not make an order. I,m trying in the morning, evening but still failed.",1,negatif,0
"I am a loyal customer who always use gojek instead of its rival, even when the rival has much more benefit for the customers like big discount just for 1 reason, this is developed by Indonesian, and as Indonesian why not support it loyally? unfortunately this app crash suddenly on my phone. I cannot open it and when I re-install it, It never opened again, it cannot be open no matter I login or register from the start. now I use its rival, I have no choice. hope gojek will fix it asap.",1,negatif,0
"Had good experiences so far for services I used: transportation, food ordering. Until today, ordering my lunch: server is busy, try again. No order status came up, but minutes later I got calls from 3 drivers trying to confirm. I realized then that my gopay balance is debited 3 times for orders that do not even come up on my screen. Half an hour later 3 orders indeed came up and I don't have the heart to cancel them for those drivers already waited for that long.",1,negatif,0
"the app size is getting bigger every update. most older smartphone cannot update due to no space left in internal apps memory resident. and if not update, the apps stop function after a while. why not make it simple? 15/03/2020, app forced to update. 8 important still used app had to be removed so gojek app can update. it says need more than 200mb to update. I recorded the process for proof! note add. even after I remove 8 apps, the gojek update still cannot update. so I have to remove 8 more",1,negatif,0
"It's been days that when press the button ""order"" it says that the server is busy.... this quarantine situation is very bad!!! Fix this problem and I will give 5 starts....",1,negatif,0
"Lousy customer service, not helpfull at all, in fact saying that I am not honest and tirn off the phone. I call 2nd time and get the same person and again... Turn off my phone. I just need the help to get into the apps which was not succeed",1,negatif,0
"Didn't receive the e-receipt after complete the trip and the in app ""send receipt"" function was also not working.",1,negatif,0
The app cannot be opened this few days... Don't know what happened... Been contacted the twitter account but no response at all,1,negatif,0
"Getting very very slow in opening, choosing menu, ordering, etc recently",1,negatif,0
the new user interface is confusing and took longer time to load. please fix it.,1,negatif,0
The old UI is far more better. This one has too much clutter and i can't even use the chat feature with the driver,1,negatif,0
The upgrade doesnt work really well. Inital loading is very slow. It also still does not have a sorting feature when searching for items. I hope the engineer fix these BASIC issues.,1,negatif,0
"The application often doesnt work, it keeps loading. Such useless..luckily its not monopoly in this country!",1,negatif,0
"Yeah, it's getting worse and worse. The major problem is that the app doesn't show the map correctly and keep misleading the driver to the farthest route.. dank, I'm waiting too long for the driver to pull away on the right track",1,negatif,0
"Been requesting to upgrade gopay plus for nearly a year, sent several emails to customer support..they didnt process or notify me the result. Status is pending and cannot do anything about it. Dissapointed",1,negatif,0
"The app went crazy. I already booked a driver but when i checked the map to see where the driver is, its looking for a driver again. Three drivers ended coming up to my place. I felt very sorry for the drivers. One driver got angry to me.",1,negatif,0
Anyone can help? I used to order food for my family in Indonesia. Now unable to order with the new version super terrible.,1,negatif,0
"Pls fix the bug, after app update, app keep auto open up when screen is unlocked.",1,negatif,0
App is auto opening. The app is opening in its own each time I access other phone app after the latest update. This is getting very irritating. Please fix it. If this doesn't get fixed I will be deleting the app.,1,negatif,0
Why does the app keep popping up at random times and app is disabled.... something fishy is going on. Uninstalled.,1,negatif,0
Keep not responding after the update version :( fix it please.. already uninstall and installed it again but same thing happens..,1,negatif,0
"I faced issue in canceling my order. Tried calling the customer services, but they keep on passing the phone to another customer services. Not professional at all.. Since that day onwards, everytime I place order, I can't proceed,- very strange - it always pops out 'server is busy'.. makes no sense. Very very disappointed",1,negatif,0
"I definitely love gojek, but not that much love for the app. I prefer the old UI & UX tbh. Sure it looks more modern and such for the new update, but it's harder to navigate. And, the new update is kinda heavy(?) compared to the old one. It has slight lags although I have a quite good phone. Also, the one thing that's kinda annoying is everytime I open the app, it always says to turn on my location service although it's been turned on at the time I open the app. It's a small bug, but it sure is getting annoying overtime. A suggestion from me, simplify the UI & UX again, and don't make the app too heavy for phones to handle, I mean, not everyone is using a high-end spec phone. You don't want people's phone to be able to cook a food, right? I'd surely change the ratings if all of these gets fixed... hopefully...",3,negatif,0
"Need more improvement on the program, so never ever again happend double order, because it making problem for the driver and the customer.",1,negatif,0
"Though there is an update request and also it's said that my old version of the app has been deactivated, I even could not have it done as I expected. After reaching 100%, it was like restart again doing the update. Meanwhile I have done all the requirements related to my mobile phone (restart the device, make sure having the stable wifi connection, etc.). So, how can I use the app again?",1,negatif,0
"The app used to be good, but now it sucks. I changed my number to a new number. And cannot pay my YouTube premium.",1,negatif,0
"Stuck at splash screen. Have waited for 5 minutes. Uninstalled and reinstalled. My phone is xiaomi redmi note 3, Android 7.0 Please help, i desperately need something to eat!",1,negatif,0
Why is it so hard to locate my Go-Pay transactions? Also the bursting colour selection & icon are super confusing. Please always make functionality a top priority. So many useless features in this new version. Disappointed!,1,negatif,0
"Terrible UI, hard to find purchase history, terrible customer service (bought steam voucher pending for 1 week, won't even refund or cancel) 1/10 don't waste memory. Dl other app Note: they refunded the moment i posted this. I won't change my review",1,negatif,0
"Trashy app made by trashy developer. It keeps telling me to enable my location while my device has already perfectly configured. The UI/UX design is stupid af. Congrats Grab, you've won the competition",1,negatif,0
"It is very slow at opening and after waiting up to a minute for it to open, it then often closes straight away. Very very annoying.",1,negatif,0
"This app is good @ beginning, used it of often to buy food and sometime for transportation until, i cant log in suddently, and need to confirm cell number, it said to send an OTP that never came, and when i tried to log back in it said (too many attemp) your request is blocked due too many attemps. And theres no wherr i can go to report or ask support from. at least give me some solution.",1,negatif,0
"App now is not as stable as before, lots of hang while chat whit driver, always show 'connecting' even though i have a very decent 4G signal, also often have a 'no driver nearby' while ordering 👎",1,negatif,0
"frozen paylater account without notification. and the amount still due, also the due date.",1,negatif,0
They blocked my number when they were the ones who didn't send me the login link and said tOo mAnY ATtEmpTs. Nice 👍. Not to mention i have money in there. Please give me my money back if u can't fix it thx,1,negatif,0
"it's very bad, today i wanna order some food. but i make one mistake and then the order submitting, actually in that situasion i wanna to cancel my order. but GOJEK DIDN'T SUPPORT . BAD FOR SERVICE👎👎👎👎.. AFTER THAT, MY GO PAY HASBEEN CUT WITH ORDER...... CS OF GOJEK IS BAD👎👎👎",1,negatif,0
Stupid app doesnt allow cancelation even though i have explained order is wrong address is wrong. They said restaurant has prepared order even though i called to cancel in 30 sec. Scam!!!! Misleading promo.,1,negatif,0
"Terribly Disgusting. Not helpful at all. It doesnt let you cancel the order no matter what. All the hassle to contact the call center doesnt help you at all, not to mention poor quality CS employees. Absolutely nonsense. Not user friendly and ruining my mood and appetite.",1,negatif,0
"Bad customer service. Different occasions, completely useless and robotic instead of listening",1,negatif,0
"Met a serious bug, I forgot order in basket but did not make an order, and that menu is unavailable anymore, app cannot clear the basket which have that menu, manually or automatically, what should I do? It should be a way to manually clear the basket, isn't it? And from that I cannot make new order because it cannot complete the ghost order. FIX IT ASAP!",1,negatif,0
"Wierd app, just updating every unuseful things, the path is taking longer and longer, and i just need this to pay my games with EXTRA cost so😔 sorry",1,negatif,0
Unusual device set up. Have to buy new phone. It doesn't make sense. Why GoJek couldn't solve this problem.,1,negatif,0
"Bad ux. Customer service is worse. Unable to cancel order by mistake, even though I just pressed order button 5 seconds ago. This way of business feels like trapping people who pressed order by mistake because of your bad UI which caused bad UX. SHAME ON YOU",1,negatif,0
My apps suddenly get unusual device setup and i cannot use it anymore. The customer service is closing my ticket like it is done. Not helpful at all,1,negatif,0
"I will teach one basicc knowledge, 'order' button clicked then show confirmation pop up, no it will ruin the user experience and prolong the process, ok then here we go 1 star",1,negatif,0
"The new ui is terrible even I have used it for 3 months and it was and always confusing to use, the app still heavy to load, the messy ui is terrible , they don't categorize ur homepage it's just showing up random things, just fire ur stupid ux/ui designer or redesign ur app gosh. After update nothing change",1,negatif,0
"trying to update my app many times but finally I gave up it's already 100% but it keeps the old version the last one I tried, it was stuck in 39%",1,negatif,0
"The good news I've secceded top-up with GO-Pay. But when I connected my Gopay acc to my Play Store it can't connected. To be honest, I've tried so many things. I have the latest app. I have clear the cache. Clear the data. Un-install and Install back again. I reach the cs and told my problem through email. And their solution is not helping. I've done their instruction, which was, I've done it already. I hope Gojek solve my problem and others. Thank you. Still.. I can't connect my gopay with ps",1,negatif,0
"Once i got ordered go food for dinner. The driver told me the line was too long and said that do i want to cancel or not. I asked the driver how to cancel since gojek doesnt allow order cancelation any more. The driver told me to just wait for 15 minutes which i did, but turns out it just made the gojek app search for other driver while the order still proceeds. The driver basically just lied to me so he can get another order and i ended up ordering two gofood.",1,negatif,0
Drives always take almost 10 minutes to arrive. Gojek can't give me a driver near me and there are no vouchers at all too. A really terrible app,1,negatif,0
"Keep asking for location access permission even though it's already activated, if I close it the menu won't load",1,negatif,0
"I think there is a bug in the map service. I want to send a package and wrote the correct address. However, the map and the address does not match. Therefore, I have to cancel my order many times and even had an argument with the drivers because of the app mistake. Please fix this.",1,negatif,0
"Really bad interface. You have to input the promo code at the home screen and cannot do it after you've selected your destination and pickup point. The app also has payment clearing problems as it was unable to process a card transaction. When I want to make another order, it tells me to clear the previous transaction. When I select my POSB debit card to make payment, it says that there are problems with it. Same thing happened when I tried to use Grab card and even PayLah. So useless.",1,negatif,0
"Driver's good, wide variety partner, but there's no solution if some wrong in the order. And a short notice without double check",1,negatif,0
It's always keep ask to enable location even when GPS always on so can't do any transaction.,1,negatif,0
Definitely the worst driver app ever. Too intrusive. Location permission is mandatory. Cannot set it up even after deleting and reinstalling. Utterly inconvenient link based login. Skip.,1,negatif,0
Use it for quite sometime until recently there some bug issue. It just Stuck at loading page forever. Try installing not working also.,1,negatif,0
Doesn't fit the description. The cost is very expensive. Disadvantages if using this apk.,1,negatif,0
"Latest update unable me to order food. It asks me to clear my cart but I can't even clear my cart, can't even remove my previous order.",1,negatif,0
"The customer care doesn't resolve any complain. I've made a complain and submitted the proves both in email and in the ticket chat room, but no respond. Instead, the system keep mail and text me that I haven't submit my respond. Then, they said that considered the problem is solved. Why bother make customer care if it doesn't care to check their email or their ticket chat room?!",1,negatif,0
"My device blocked by gojek, they say because they found something wrong with my account, and they cant fix it. But, i dont know what happen, so am i worse? They said, i can using my account and gopay with another device, so i must bought a new phone for using this apps? Its so funny. I think i can use another apps!",1,negatif,0
"Awful app. Has never worked from the moment I installed it. Tried again and again and again to get support to help, but there is no support - just a computer that tells you that your issue is ""Resolved"" and then closes your enquiry. Dreadful.",1,negatif,0
"Cannot change my payment method from cash to gopay when ordering food. Secondly, the app is very heavy comparerd to Grab App.",1,negatif,0
"Key in my destination. When driver arrives his phone shows different destination from mine. Happened more than once. Reply to feedback is standard copy cut paste. No sincerity, no improvement.",1,negatif,0
"When it's raining, I waited until more than half an hour and still not get any drivers. Although, I can see some cars nearby on the map.",1,negatif,0
For some reason i am the only one who never got any voucher/promos even though gojek clearly promoting it in their banners. The customer service told me that they are for selected customers only. Like all of it? Really??? For months i got no promos while people around me always have. Please Note that we are using the app with same intensity and on the same level. Sorry but i'd rather go to your competitor then..,1,negatif,0
"This is very bad image for a reputable and good app as recent updates cause the Gojek app to keep telling me to retry because all servers are busy. Furthermore the customer service is superbly incompetent, just sending an email to me with instructions that can't solve the app problem. Gojek's effort to do monthly promotions and vouchers is wasted because of its very bad customer service and faulty app functions.",1,negatif,0
"1. Delivery status can't real time its have to choose back button to see status of driver on the road on the phone screen. It is not automatically change the status. This case for food delivery status. 2. Name of place not too much can find in ""where to go"". It have to make like google map. Can detect more name of place. If you can.",1,negatif,0
"Every time I give a rating to the driver, there will come pop up that my internet is not connected over and over again which makes me lazy to give a rating to the driver because I have to shut that lot of pop up. In this case, I have no problem with my Internet.",1,negatif,0
Tried to use promo code but asked for verify code.... why on earth is this needed..don't know where to get this ..only complicate matters. Uoy offer promo then make it easy to apply..otherwise defeats purpose.. I gave up after multiple trials,1,negatif,0
Delivery fee is increasing constantly 1000vnd every 1 minute and it seems not to stop. Nice. (Y),1,negatif,0
When you want to order food and it says all drivers are busy they changed the destination location to other location and you are unable to cancel even it is less than half mins,1,negatif,0
Bad review always removed and no solution is offered to me... Failed gopulsa transaction 2x and gopay balance didnt get full refund... So disappointed...,1,negatif,0
"Horrible first impression. I signed up for the app, and seconds later I get a notification that my account has been blocked permanently due to suspicious activity. Since when is signing up and logging in suspicious? Are you kidding me?",1,negatif,0
"App crash after last update, CS was not really helpful, they only direct you to sent email, and email reply was not helpful as well, they ask you back and forth and send you template answer. It tooks more than 2 days to solve the problem untill I write this review. Very disaapointing.",1,negatif,0
"When discount applied it's very difficult to get a driver, even not at all. Looks like your driver is no longer interested in your ""deal"" scheme. Uninstalled",1,negatif,0
Very bad experience as drivers kept cancelling which leads to increased in price after trying to book.,1,negatif,0
"This is my first time i felt so bad from this app, they ask me like deb collector with louder voice. If u don't want someone used pay later, please just delete about pay latter. I will pay but take sometime. Really so bad. Like a cheap pinjol for gojek",1,negatif,0
"Please fix the saved address feature. Its not working for gomart, its irritating to keep finding the same location everytime we order something. Why cant it show every saved address we saved before. Whats the point in it? Please dont make us do extra chore for something as simple as finding location that we already saved before.",1,negatif,0
"There is no solution at all when the go shop feature doesn't work, even though other features can still be used at the same time, just being told to do standard steps repeatedly, how useless, and the worst thing is : the complaint is being closed without feedback from the customer",1,negatif,0
"Used Gojek for years, Very Reliable most of the time. Other times and always at the most urgent time it's very difficult to find a Driver and the driver that accepted the request can just canceled without any warnings. I don't like the fact that I need to personally pay extra when the drivers are at the difficult time to find, not mention that I must keep ordering for 30 Minutes even sometimes an hour when at difficult time. Not a pleasant experience. Perhaps, fix this one issue for next time.",1,negatif,0
"the price always change and getting more expensive, my orders is canceled because the driver doesn't want to take my order, too many bugs,",1,negatif,0
"The worst experience is this useless application, do not give it your email or phone number, it is a waste of time",1,negatif,0
App crashes nowadays. And it took 3mins for the app to load and open up. Everything has been updated too. And all my other apps are working fine.,1,negatif,0
"Slow customer service, incorrect location 8 out of 10 times, mind blowing price surges, hard finding drivers 7 out of 10 times and when there's drivers its usually the far off ones, gotix is terrible had been refunded one sided on the day of the premiere without prior notice, slow refunding process. Overall -2/10",1,negatif,0
"Worst experience for this kind of app so far. I've top up gopay 2 days ago, and the balance did not enter my account until now. Then I accidentally ordered gofood and wanted to cancel it in seconds but I couldn't do it either. So yes, I have to pay for it. Waste of time and money, undownload this now.",1,negatif,0
Driver didn't want to pick me up and I still have to pay $5 in order to use this app again to book another trip. A slap in the face. Uninstalled.,1,negatif,0
"Really disappointing. I tried setting up with my credit card (UOB). I tried like 5 times with different phones and Go Jek's customer service told me to ""just get a new credit card"". This is the only app where I have this issue. If you guys are not able to accept one of the most popular credit cards in Singapore I don't see why I should bother trying your service.",1,negatif,0
Inaccurate driver timing. Booked a car for 10mins end up reach 20 mins later. Call function not working. Left item behind but Cant contact driver after the trip,1,negatif,0
Always shows driver coming in 3 to 4 mins but waiting time often more then 20mins.... What the heck... What kind of timer is the app using!? Update: lately is worst. Said 8 mins waited for 15mins driver just cancelled. Then the next ride got to wait for almost 20mins to arrive. What the hell total waiting time is almost 40mins!,1,negatif,0
"Been 2 years since the last time I had difficulty in finding driver and still happens. Gojek, you need to do something regarding your management system that makes the driver not willing to take orders. So disappointing.",1,negatif,0
"I tried to log in with my phone number. But its not registered. So when i try to register, and key in my email, you say my email is already registered. So why not just register with email? Im sorry, but majority of people have only 1-2 email address, but multiple phone numbers becuase they may travel often. So, sorry im deleting the app. Not very useful.",1,negatif,0
U cant change ur number. It keeps giving an error even though i have a verified email and get the otp. Gojek is going down. Badly designed system. Jan2022,1,negatif,0
"Lousy app keep having error when key promo code, always full and after awhile they bar you from keying any more code.",1,negatif,0
"Lagging non stop after pressing order. Even the app are not sure whether the order was made or not. Go back to main menu, order still there. Used another app to order food instead. And suddenly got informed that the gojek order went through. FIX YOUR SERVER!!",1,negatif,0
Keeps asking me to register suddenly and doesn't get pass the screen after i type my hp no. What's wrong with it suddenly.,1,negatif,0
"First my location is f up, it says im in gambir even though me and all the other apps in my phone SAYS IM NOT. Second i cant order anything since all the restaurant is closed all the time, even though i called the restaurant and they are open, lastly and the worst thing, their support sucks, i applied a ticket but the app says i didnt. So i cant do anything with the money i have in the app, i dont know if i can even transfer it back to my bank. I tried help menu btw, maybe fix the app instead?",1,negatif,0
"How come the app showing different pickup address after booking. Lately i need to chat to driver about our block as the app shows the block position but when book, the driver told us in different block number even though the navigator map shows the correct place. Pls fix it. Thanks!",1,negatif,0
"Very consume processing/memory. Once open, everything slowed down. Few times can't even open up again to see car plate num. Need more efficient prog.",1,negatif,0
I will be traveling to Indonesia in May. My friend told me about this app. So I downloaded it. Then I was blocked for suspicious login. I never even had a chance to use it. Maybe the competitors will allow me and I can support them?,1,negatif,0
"The absolute worst when it comes to customer service. The app is misleading when it comes to purchasing items. Plus if there is a mistake in the order, you can not edit or cancel the order. The app developers should be fired and replaced with someone who actually knows how to create a customer friendly application. I'd give this app zero stars if I could. Seriously, to whoever developed this app, go live abroad, learn good customer service and then go back to school to relearn coding.",1,negatif,0
"Book half way app forced restart, making duplicate booking which I had no idea how, when cancelled one booking charge me for late cancellation. Called hotline told me because I cancelled the trip that'd why incurred charges, told them duplicate booking but they don't seem to understand, so I asked them what if two booking came how? Can't answer me till today",1,negatif,0
App always gives drivers who are 10 to 12mins away. Inaccurate waiting times. The algorithm must find it difficult to count time as the waiting time shown is never the actual waiting time. A disappointing app that I only use when I'm out of all other options.,1,negatif,0
"Use this app and you will be late a lot of times due to driver cancelling rides at the very last minute, and then you will need to scramble to look for other rides elsewhere at higher rates.",1,negatif,0
"Be careful of gopay later, u will regret after used it.. so be thorough before apply... And for problem solving really - really bad sistem and no solution at all.. very bad for on-line customer service..",1,negatif,0
Worst first experience. I waited thrice longer than the ETA and the driver ended up cancel my ride. Bad communication from the driver and i was reassign another driver with even longer waiting time.,1,negatif,0
Driver didn't arrive pickup point. He ask me to go elsewhere but I can't see him when I arrive his place. i ask him to send photo to show his location but he ignore. Then my order was being cancelled & I was charged cancellation fee. I complain to CS and they just refund the cancel fee & close the ticket. I asked for follow up of my wasted waiting time but I was kept humiliated by the repeated answer that they have refunded & case closed. The driver's & CS's behavior & attitude are disappointing,1,negatif,0
"Lol my review has been deletes so i'll keep reposting. Been using this app for years, being a loyal customer, always using their transport, food, bills service until my goclub reaching ANAK SULTAN, but guess what they do to my account? I lost all my voucher, no food and ride promo for me, sent 2 tickets and twitter dms but no helpfull response for days eventhough i'm their ""Priority Customer"", guess what? you lost loyal customer due to your bad cs and useless goclub features 🤷🏻‍♀️ kbye",1,negatif,0
